CUSTOMERID,CUST_CONSTTYPE_ID,CUST_CATEGORYID,PROFESSION,AGE,SEX,MARITAL_STATUS,QUALIFICATION,NO_OF_DEPENDENT,OCCUPATION,POSITION,GROSS_INCOME,PRE_JOBYEARS,NETTAKEHOMEINCOME,BRANCH_PINCODE
12001000,1,5,,33,M,M,POSTGRAD,0,,,198375.22,8,198375.22,400070
12001001,1,5,,44,M,M,POSTGRAD,0,,,242703.98,10,242703.98,400070
12001002,1,7,,50,M,M,GRAD,0,,,0.00,,0.00,400070
12001003,3,4,,40,M,M,GRAD,0,,,365263.51,,365263.52,400070
12001004,3,4,,27,M,M,GRAD,0,,,187342.20,,187342.20,400070
12001005,3,4,,43,M,M,GRAD,0,,,53536.21,,53536.21,400070
12001006,3,4,,48,M,M,UG,0,,,49842.15,,49842.15,400070
12001007,1,5,,33,M,M,POSTGRAD,0,,AVP,123370.48,7,123370.48,400070
12001008,1,4,,44,M,M,GRAD,0,,,183331.98,,183331.99,400070
12001009,3,4,,37,M,M,UG,0,,,93803.84,,93803.84,400070
12001010,1,5,,30,M,M,GRAD,0,,,35880.97,5,35880.97,400070
12001011,1,5,,33,M,M,GRAD,0,,,63576.87,0,63576.87,400070
12001012,1,5,,29,M,M,GRAD,0,,,108093.30,1,108093.30,400070
12001013,1,5,,32,M,M,POSTGRAD,0,,AVP,331757.85,5,331757.85,400070
12001014,1,5,,30,M,M,POSTGRAD,0,,AVP,59535.39,8,59535.39,400070
12001015,1,5,,41,M,M,GRAD,0,,AVP,95156.63,0,95156.63,400070
12001017,1,4,,49,M,M,UG,0,,,90132.17,,90132.17,400070
12001018,1,5,,42,M,M,GRAD,0,,,1102122.26,14,1102122.26,400070
12001019,3,4,,34,M,M,GRAD,0,,,133719.79,,133719.79,400070
12001020,1,5,,32,F,S,GRAD,0,,,77097.54,3,77097.54,400070
12001021,1,7,,62,F,M,UG,0,,,1.50,,1.50,400070
12001022,3,4,,37,M,M,GRAD,0,,,189873.58,,189873.57,400070
12001023,1,5,,25,M,S,POSTGRAD,0,,AST,34409.70,0,34409.70,400070
12001024,1,5,,28,M,S,GRAD,0,,,49542.76,2,49542.76,400070
12001025,1,4,,35,M,M,GRAD,0,,,41995.12,,41995.12,400070
12001026,1,5,,26,M,S,GRAD,0,,SROF,78842.05,0,78842.05,400070
12001027,1,5,,32,M,S,POSTGRAD,0,,,90077.75,,90077.75,400070
12001028,1,5,,31,M,S,POSTGRAD,0,,,89321.09,,0.00,400070
12001029,1,4,,34,M,M,UG,0,,,0.00,,0.00,400070
12001030,3,6,,25,M,M,POSTGRAD,0,,,454356.35,,454356.35,400070
12001031,1,4,,38,M,M,GRAD,0,,,26917440.75,,26917440.76,400070
12001033,1,4,,50,M,M,null,0,,,1206504.10,,1206504.11,400070
12001034,1,5,,28,M,S,POSTGRAD,0,,,39953.99,,39953.99,400070
12001035,1,5,,30,M,M,GRAD,0,,,104508.95,,104508.95,400070
12001036,1,5,,31,M,S,POSTGRAD,0,,MGR,78807.52,4,78807.52,400070
12001037,1,4,,42,M,M,GRAD,0,,,103603.01,,103603.02,400070
12001038,1,4,,32,M,M,GRAD,0,,,151323.11,,151323.11,400070
12001039,4,8,,,,,,0,,,0.00,,0.00,400070
12001040,1,4,,49,M,M,GRAD,0,,,519100.92,,519100.92,400070
12001041,3,4,,46,M,M,POSTGRAD,0,,,410098.46,,410098.46,400070
12001042,1,4,,56,M,M,GRAD,0,,,882572.14,,882572.14,400070
12001044,1,4,,51,M,M,GRAD,0,,,416989.41,,416989.41,400070
12001045,1,4,,45,M,M,GRAD,0,,,453873.13,,453873.12,400070
12001047,1,5,,30,M,M,POSTGRAD,0,,AGM,159005.24,,159005.24,400070
